"Participant Id","Trial Number","Viztype:","True Percentage","Reported Percentage"
"7","2","BarGraph","23","20"
"7","3","BubbleChart","6","5"
"7","4","GradientGraph","46","50"
"5","2","BarGraph","92","90"
"5","3","BubbleChart","100","100"
"5","4","GradientGraph","94","95"
"8","2","BarGraph","78","80"
"8","3","BubbleChart","82","80"
"8","4","GradientGraph","82","90"
"9","2","BarGraph","22","18"
"9","3","BubbleChart","33","20"
"9","4","GradientGraph","9","9"
"10","1","BarGraph","89","94"
"10","2","BubbleChart","46","46"
"10","3","GradientGraph","54","46"
"10","1","BarGraph","90","90"
"10","2","BubbleChart","5","7"
"10","3","GradientGraph","5","6"
"10","1","BarGraph","96","98"
"10","2","BubbleChart","14","11"
"10","3","GradientGraph","24","30"
"10","1","BarGraph","61","60"
"10","2","BubbleChart","45","40"
"10","3","GradientGraph","69","70"
"10","1","BarGraph","70","70"
"10","2","BubbleChart","43","30"
"10","3","GradientGraph","36","33"
"10","1","BarGraph","54","60"
"10","2","BubbleChart","12","8"
"10","3","GradientGraph","69","70"
"10","1","BarGraph","74","75"
"10","2","BubbleChart","52","40"
"10","3","GradientGraph","89","87"
"10","1","BarGraph","63","65"
"10","2","BubbleChart","43","25"
"10","3","GradientGraph","93","90"
"10","1","BarGraph","27","23"
"10","2","BubbleChart","24","10"
"10","3","GradientGraph","13","8"
"10","1","BarGraph","24","28"
"10","2","BubbleChart","57","40"
"10","3","GradientGraph","39","35"
"10","1","BarGraph","38","44"
"10","2","BubbleChart","14","4"
"10","3","GradientGraph","51","51"
"10","1","BarGraph","94","93"
"10","2","BubbleChart","45","63"
"10","3","GradientGraph","45","46"
"10","1","BarGraph","67","70"
"10","2","BubbleChart","98","99"
"10","3","GradientGraph","19","17"
"10","1","BarGraph","33","33"
"10","2","BubbleChart","83","87"
"10","3","GradientGraph","9","6"
"10","1","BarGraph","34","37"
"10","2","BubbleChart","78","72"
"10","3","GradientGraph","20","26"
"10","1","BarGraph","37","40"
"10","2","BubbleChart","80","73"
"10","3","GradientGraph","70","72"
"10","1","BarGraph","20","16"
"10","2","BubbleChart","88","87"
"10","3","GradientGraph","51","83"
"10","1","BarGraph","25","34"
"10","2","BubbleChart","9","11"
"10","3","GradientGraph","40","46"
"10","1","BarGraph","73","71"
"10","2","BubbleChart","14","13"
"10","3","GradientGraph","22","25"
"10","1","BarGraph","38","33"
"10","2","BubbleChart","46","53"
"10","3","GradientGraph","38","44"
"10","1","BarGraph","39","40"
"10","2","BubbleChart","41","30"
"10","1","BarGraph","28","32"
"10","3","GradientGraph","66","75"
"10","2","BubbleChart","14","17"
"10","3","GradientGraph","87","91"
"10","1","BarGraph","67","68"
"10","2","BubbleChart","21","30"
"10","3","GradientGraph","93","93"
"10","1","BarGraph","3","6"
"10","2","BubbleChart","47","61"
"10","3","GradientGraph","65","63"
"10","1","BarGraph","70","68"
"10","2","BubbleChart","77","84"
"10","3","GradientGraph","85","90"
"10","1","BarGraph","63","64"
"10","2","BubbleChart","9","10"
"10","3","GradientGraph","13","12"
"10","1","BarGraph","57","62"
"10","2","BubbleChart","42","51"
"10","3","GradientGraph","63","71"
"10","1","BarGraph","30","42"
"10","2","BubbleChart","40","53"
"10","3","GradientGraph","50","47"
"10","1","BarGraph","60","64"
"10","2","BubbleChart","11","10"
"10","3","GradientGraph","93","94"
"10","1","BarGraph","64","68"
"10","1","BarGraph","67","7"
"10","2","BubbleChart","11","10"
"10","3","GradientGraph","7","5"
"10","1","BarGraph","53","85"
"10","1","BarGraph","93","95"
"10","2","BubbleChart","57","90"
"10","3","GradientGraph","55","50"
"10","1","BarGraph","48","50"
"10","2","BubbleChart","47","40"
"10","3","GradientGraph","60","95"
"10","2","BubbleChart","25","23"
"10","2","BubbleChart","36","30"
"10","3","GradientGraph","96","94"
"10","3","GradientGraph","91","95"
"10","1","BarGraph","12","9"
"10","2","BubbleChart","74","66"
"10","3","GradientGraph","51","51"
"10","1","BarGraph","80","85"
"10","1","BarGraph","67","78"
"10","2","BubbleChart","51","50"
"10","2","BubbleChart","82","85"
"10","3","GradientGraph","96","95"
"10","3","GradientGraph","39","40"
"10","1","BarGraph","78","75"
"10","2","BubbleChart","48","50"
"10","3","GradientGraph","39","30"
"10","1","BarGraph","33","28"
"10","2","BubbleChart","61","70"
"10","3","GradientGraph","88","85"
"10","1","BarGraph","44","40"
"10","2","BubbleChart","60","40"
"10","3","GradientGraph","100","100"
"10","1","BarGraph","65","70"
"10","2","BubbleChart","68","60"
"10","3","GradientGraph","89","93"
"10","1","BarGraph","6","8"
"10","2","BubbleChart","25","20"
"10","3","GradientGraph","42","38"
"10","1","BarGraph","13","12"
"10","2","BubbleChart","30","30"
"10","3","GradientGraph","92","96"
"141","1","BarGraph","20","20"
"141","2","BubbleChart","32","20"
"141","3","GradientGraph","7","8"
"144","1","BarGraph","14","15"
"144","2","BubbleChart","9","5"
"144","3","GradientGraph","19","20"
"147","1","BarGraph","67","50"
"147","2","BubbleChart","8","4"
"147","3","GradientGraph","54","60"
"147","1","BarGraph","2","5"
"147","2","BubbleChart","99","98"
"147","3","GradientGraph","56","58"
"153","1","BarGraph","87","92"
"153","2","BubbleChart","89","87"
"153","3","GradientGraph","35","38"
"156","1","BarGraph","58","60"
"156","2","BubbleChart","91","90"
"156","3","GradientGraph","87","90"
"159","1","BarGraph","94","91"
"159","2","BubbleChart","52","24"
"159","3","GradientGraph","1","7"
"162","1","BarGraph","86","82"
"162","2","BubbleChart","25","17"
"162","3","GradientGraph","20","22"
"165","1","BarGraph","66","68"
"165","2","BubbleChart","56","38"
"165","3","GradientGraph","59","62"
"168","1","BarGraph","88","89"
"168","2","BubbleChart","53","43"
"168","3","GradientGraph","88","89"
"171","1","BarGraph","47","44"
"171","2","BubbleChart","36","20"
"171","3","GradientGraph","92","97"
"174","1","BarGraph","71","70"
"174","1","BarGraph","63","75"
"174","2","BubbleChart","75","80"
"174","3","GradientGraph","43","40"
"174","2","BubbleChart","50","35"
"174","3","GradientGraph","100","100"
"180","1","BarGraph","60","62"
"180","2","BubbleChart","37","50"
"182","1","BarGraph","30","25"
"182","2","BubbleChart","76","79"
"182","3","GradientGraph","99","98"
"180","3","GradientGraph","37","38"
"186","1","BarGraph","27","23"
"186","1","BarGraph","57","62"
"186","2","BubbleChart","74","84"
"186","2","BubbleChart","64","78"
"186","3","GradientGraph","48","50"
"191","1","BarGraph","15","20"
"191","2","BubbleChart","66","70"
"186","3","GradientGraph","27","25"
"194","1","BarGraph","25","24"
"194","2","BubbleChart","39","35"
"194","3","GradientGraph","13","18"
"191","3","GradientGraph","80","80"
"198","1","BarGraph","55","58"
"198","2","BubbleChart","91","90"
"198","3","GradientGraph","34","44"
"201","1","BarGraph","59","60"
"201","2","BubbleChart","47","23"
"201","3","GradientGraph","59","60"
"204","1","BarGraph","59","60"
"204","2","BubbleChart","52","60"
"204","3","GradientGraph","52","50"
"207","1","BarGraph","82","83"
"207","2","BubbleChart","22","20"
"207","3","GradientGraph","18","30"
"210","1","BarGraph","89","84"
"210","2","BubbleChart","89","90"
"210","3","GradientGraph","96","96"
"213","1","BarGraph","97","97"
"213","2","BubbleChart","26","22"
"213","3","GradientGraph","26","26"
"215","1","BarGraph","11","10"
"215","2","BubbleChart","50","70"
"217","1","BarGraph","85","76"
"215","3","GradientGraph","49","52"
"217","2","BubbleChart","16","13"
"217","3","GradientGraph","92","91"
"222","1","BarGraph","7","7"
"222","2","BubbleChart","5","9"
"222","3","GradientGraph","23","30"
"225","1","BarGraph","94","94"
"225","2","BubbleChart","70","78"
"225","3","GradientGraph","11","12"
"228","1","BarGraph","20","28"
"228","2","BubbleChart","6","4"
"228","3","GradientGraph","40","44"
"231","1","BarGraph","62","70"
"231","2","BubbleChart","14","11"
"231","3","GradientGraph","75","72"
"234","1","BarGraph","54","53"
"234","2","BubbleChart","77","88"
"234","3","GradientGraph","97","97"
"237","1","BarGraph","53","57"
"237","2","BubbleChart","22","22"
"237","3","GradientGraph","72","75"
"240","1","BarGraph","86","80"
"240","2","BubbleChart","43","60"
"240","3","GradientGraph","94","89"
"243","1","BarGraph","48","50"
"243","2","BubbleChart","40","44"
"243","1","BarGraph","24","25"
"243","3","GradientGraph","75","70"
"247","1","BarGraph","92","89"
"247","2","BubbleChart","63","66"
"247","3","GradientGraph","47","47"
"243","2","BubbleChart","43","30"
"243","3","GradientGraph","78","85"
"250","1","BarGraph","89","90"
"250","2","BubbleChart","100","100"
"253","1","BarGraph","63","66"
"250","3","GradientGraph","88","90"
"253","2","BubbleChart","47","50"
"256","1","BarGraph","67","70"
"256","3","GradientGraph","4","5"
"253","3","GradientGraph","51","50"
"261","1","BarGraph","62","66"
"265","1","BarGraph","2","5"
"267","3","GradientGraph","82","90"
"271","1","BarGraph","57","55"
"271","3","GradientGraph","42","40"
"276","2","BubbleChart","31","40"
"276","3","GradientGraph","37","42"
"256","2","BubbleChart","32","42"
"260","1","BarGraph","62","64"
"260","2","BubbleChart","61","67"
"260","3","GradientGraph","99","99"
"261","2","BubbleChart","77","80"
"261","3","GradientGraph","54","60"
"267","1","BarGraph","66","60"
"267","2","BubbleChart","51","50"
"265","2","BubbleChart","2","2"
"271","2","BubbleChart","57","50"
"276","1","BarGraph","31","37"
"279","1","BarGraph","63","68"
"279","2","BubbleChart","11","15"
"279","3","GradientGraph","31","31"
"282","1","BarGraph","93","93"
"282","2","BubbleChart","94","90"
"282","3","GradientGraph","99","99"
"285","1","BarGraph","11","11"
"285","2","BubbleChart","70","65"
"285","3","GradientGraph","63","63"
"288","1","BarGraph","28","34"
"288","2","BubbleChart","94","88"
"288","3","GradientGraph","53","57"
"291","1","BarGraph","61","61"
"291","2","BubbleChart","65","70"
"291","3","GradientGraph","73","76"
"294","1","BarGraph","87","85"
"294","2","BubbleChart","66","70"
"294","3","GradientGraph","76","75"
"265","3","GradientGraph","76","75"
"297","1","BarGraph","93","95"
"297","2","BubbleChart","63","50"
"297","3","GradientGraph","54","60"
"300","1","BarGraph","16","11"
"300","1","BarGraph","69","75"
"300","2","BubbleChart","32","20"
"300","2","BubbleChart","40","33"
"300","3","GradientGraph","52","56"
"300","3","GradientGraph","97","98"
"306","1","BarGraph","53","55"
"306","2","BubbleChart","56","50"
"306","3","GradientGraph","42","80"
"309","1","BarGraph","11","13"
"309","2","BubbleChart","12","12"
"309","3","GradientGraph","8","10"
"312","1","BarGraph","34","43"
"312","2","BubbleChart","70","60"
"312","3","GradientGraph","28","33"
"315","1","BarGraph","76","74"
"315","2","BubbleChart","12","21"
"315","3","GradientGraph","73","70"
"318","1","BarGraph","67","70"
"318","2","BubbleChart","100","100"
"318","3","GradientGraph","55","54"
"321","1","BarGraph","88","90"
"321","2","BubbleChart","88","90"
"321","3","GradientGraph","29","28"
"324","1","BarGraph","62","60"
"324","2","BubbleChart","89","83"
"324","3","GradientGraph","4","6"
"327","1","BarGraph","45","47"
"327","2","BubbleChart","80","82"
"327","3","GradientGraph","37","42"
"330","1","BarGraph","18","22"
"330","2","BubbleChart","12","7"
"330","3","GradientGraph","84","83"
"333","1","BarGraph","71","70"
"333","2","BubbleChart","92","99"
"333","3","GradientGraph","70","68"
"336","1","BarGraph","60","58"
"336","2","BubbleChart","62","56"
"336","3","GradientGraph","9","11"
"339","1","BarGraph","55","58"
"339","2","BubbleChart","59","62"
"339","3","GradientGraph","96","98"
"342","1","BarGraph","6","6"
"342","2","BubbleChart","5","5"
"342","3","GradientGraph","84","80"
"345","1","BarGraph","19","24"
"345","2","BubbleChart","59","61"
"345","3","GradientGraph","25","26"
"348","1","BarGraph","16","20"
"348","2","BubbleChart","22","15"
"348","3","GradientGraph","9","12"
"351","1","BarGraph","70","68"
"351","2","BubbleChart","73","70"
"351","3","GradientGraph","21","26"
"354","1","BarGraph","58","60"
"354","2","BubbleChart","37","30"
"354","3","GradientGraph","33","40"
